Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
IFAST,AIY,IFAS.SI,393.822,136.7,34.54,2.17,Banking & Investment Services,81
Jumbo,42R,JUMB.SI,224.642,143.609,35.25,3.43,Cyclical Consumer Services,81
Suntec Reit,T82U,SUNT.SI,4083.672,366.73,11.29,5.22,Real Estate,80.3
Riverstone,AP4,RVHL.SI,2049.168,321.715,48.21,0.87,Healthcare Services,80
Wing Tai,W05,WTHS.SI,1452.887,312.169,25.69,1.64,Real Estate,80
Centurion,OU8,CNCL.SI,306.884,133.353,3.07,5.48,Real Estate,80
Hotel Royal,H12,HTRS.SI,306.432,57.69,63.07,0.82,Cyclical Consumer Services,80
Tai Sin Electric,500,TAIS.SI,141.212,329.301,9.06,7.38,Industrial Goods,80
APAC Realty,CLN,APAC.SI,134.975,365.112,9.63,5.26,Real Estate,80
Clearbridge,1H3,CLEA.SI,105.047,21.533,,,Healthcare Services,80
ARA LOGOS Log Tr,K2LU,ARAL.SI,622.245,113.555,,7.63,Real Estate,79.8
Sembcorp Marine,S51,SCMN.SI,951.362,2882.56,,,Industrial Goods,79
AEM,AWX,AEM.SI,870.03,323.13,16.28,1.62,Technology Equipment,79
InnoTek,M14,INTK.SI,93.729,186.721,5.21,3.95,Technology Equipment,79
Halcyon Agri,5VJ,HALC.SI,366.853,2658.636,,,Automobiles & Auto Parts,78
Accordia Golf Tr,ADQU,ACCO.SI,758.394,664.054,35.16,6.23,Cyclical Consumer Services,77.7
Ascendas-iTrust,CY6U,AINT.SI,1502.051,197.552,4.3,0.45,Real Estate,77.2
Venture,V03,VENM.SI,4784.467,3633.431,13.16,4.25,Technology Equipment,77
Dasin Retail Tr,CEDU,DASI.SI,539.771,76.007,,5.98,Real Estate,77
Kep Infra Tr,A7RU,KEPL.SI,2669.884,1654.483,35.29,6.95,Utilities,76.6
ParkwayLife Reit,C2PU,PWLR.SI,2063.057,116.701,17.33,,Real Estate,76.6
Indofood Agri,5JS,IFAR.SI,448.813,1340.605,,0.81,Food & Beverages,76
Frencken,E28,FREN.SI,386.543,659.151,9.12,3.3,Industrial Goods,76
Genting Sing,G13,GENS.SI,9312.4,2480.34,13.48,5.19,Cyclical Consumer Services,75
Zheneng Jinjiang,BWM,ZHEN.SI,785.173,764.287,25.7,,Industrial & Commercial Services,75
Delfi,P34,DELF.SI,455.312,657.252,11.58,4.32,Food & Beverages,75
ManulifeReit USD,BTOU,MANU.SI,1211.563,177.853,22.94,7.73,Real Estate,74.7
UOL,U14,UTOS.SI,5837.499,2283.341,12.19,2.53,Real Estate,74
CSE Global,544,CSES.SI,214.168,451.756,8.82,6.63,Software & IT Services,74
Fu Yu,F13,FUYU.SI,176.954,194.128,13.95,6.81,Industrial Goods,74
ISEC,40T,ISEC.SI,167.959,42.201,24.36,2.62,Healthcare Services,74
Astaka,42S,ASTA.SI,164.51,91.019,,,Real Estate,74
Second Chance,528,SECD.SI,133.683,30.806,21.45,4.8,Retailers,74
NetLink NBN Tr,CJLU,NETL.SI,3741.092,370.192,47.9,5.26,Telecommunications Services,73.3
Golden Agri-Res,E5H,GAGR.SI,1899.957,8963.355,6.97,3.92,Food & Beverages,73
Ying Li Intl,5DM,YING.SI,227.577,70.746,,,Real Estate,73
Amara,A34,AMRA.SI,201.928,105.427,7.19,2.86,Cyclical Consumer Services,73
KSH,ER0,KSHH.SI,196.559,250.524,23.41,6.38,Industrial & Commercial Services,73
Willas-Array,BDR,0854.HK,195.976,3175.259,,,Technology Equipment,73
Singapore-eDev,40V,SINE.SI,142.125,32.348,,,Real Estate,73
